연번,호선,고유역번호(외부역코드),역명,승하차구분,수송연월,승하차인원수
1,1,150,서울역,승차,Jan-22,118173
2,1,150,서울역,하차,Jan-22,111415
3,1,151,시청,승차,Jan-22,47686
4,1,151,시청,하차,Jan-22,46713
5,1,152,종각,승차,Jan-22,87092
6,1,152,종각,하차,Jan-22,81694
7,1,153,종로3가,승차,Jan-22,210706
8,1,153,종로3가,하차,Jan-22,195752
9,1,154,종로5가,승차,Jan-22,184059
10,1,154,종로5가,하차,Jan-22,176738
11,1,155,동대문,승차,Jan-22,85382
12,1,155,동대문,하차,Jan-22,84256
13,1,156,신설동,승차,Jan-22,87259
14,1,156,신설동,하차,Jan-22,83267
15,1,157,제기동,승차,Jan-22,236909
16,1,157,제기동,하차,Jan-22,256062
17,1,158,청량리(서울시립대입구),승차,Jan-22,207484
18,1,158,청량리(서울시립대입구),하차,Jan-22,211782
19,1,159,동묘앞,승차,Jan-22,112198
20,1,159,동묘앞,하차,Jan-22,112747
21,2,201,시청,승차,Jan-22,33502
22,2,201,시청,하차,Jan-22,29730
23,2,202,을지로입구,승차,Jan-22,63013
24,2,202,을지로입구,하차,Jan-22,59047
25,2,203,을지로3가,승차,Jan-22,52740
26,2,203,을지로3가,하차,Jan-22,52114
27,2,204,을지로4가,승차,Jan-22,64349
28,2,204,을지로4가,하차,Jan-22,62963
29,2,205,동대문역사문화공원(DDP),승차,Jan-22,37171
30,2,205,동대문역사문화공원(DDP),하차,Jan-22,40109
31,2,206,신당,승차,Jan-22,68822
32,2,206,신당,하차,Jan-22,69946
33,2,207,상왕십리,승차,Jan-22,46845
34,2,207,상왕십리,하차,Jan-22,47628
35,2,208,왕십리(성동구청),승차,Jan-22,33538
36,2,208,왕십리(성동구청),하차,Jan-22,28817
37,2,209,한양대,승차,Jan-22,7691
38,2,209,한양대,하차,Jan-22,8014
39,2,210,뚝섬,승차,Jan-22,38290
40,2,210,뚝섬,하차,Jan-22,38794
41,2,211,성수,승차,Jan-22,66551
42,2,211,성수,하차,Jan-22,67899
43,2,212,건대입구,승차,Jan-22,58304
44,2,212,건대입구,하차,Jan-22,61228
45,2,213,구의(광진구청),승차,Jan-22,70552
